covariate,n_groups,H,p_perm,eta2_H,p_fdr
taxon,4,41.38296779061773,0.0004997501249375312,0.18105173486140438,0.0009995002498750624
coarse_selection_type,5,10.61806041145519,0.031984007996002,0.031365215220166776,0.04264534399466933
MSA_Neff_L_category,3,31.37868302889865,0.0004997501249375312,0.13792808933755235,0.0009995002498750624
region_mutated,3,4.177777777777784,0.11294352823588207,0.010224308815858143,0.11294352823588207
