run,n_assays,mean_weight_rho,sd,frac_positive,t,p
Qwen3-14B|conflict_direct|s0,216,0.4871846426475217,0.284178522983499,0.9351851851851852,25.195861512924083,3.909001878893635e-35
Qwen3-14B|conflict_cot|s2,96,0.4742581761427152,0.30282337778183044,0.9270833333333334,15.34479334326137,3.7207828060698556e-16
Qwen3-8B|conflict_cot|s0,216,0.454075779826662,0.31162499806899835,0.8981481481481481,21.41523893186666,3.223139220740944e-33
Qwen3-14B|conflict_cot|s1,216,0.44412240865018454,0.31248155308751874,0.9074074074074074,20.888400107716404,8.666517261695705e-33
Qwen3-14B|conflict_cot|s0,216,0.43578942823845396,0.3037967355108625,0.8935185185185185,21.082420112679664,8.539960120201443e-33
Qwen3-8B|direct_only|s0,216,0.21047034876554027,0.26077053043967263,0.7638888888888888,11.862037315151067,8.200584772849203e-21
Qwen3-14B|cot_only|s0,216,0.16925667491742422,0.3146158322324035,0.7268518518518519,7.9066425773810805,1.898449508556846e-12
Qwen3-8B|cot_only|s0,216,0.09573103303353286,0.3618717922352158,0.5972222222222222,3.8879877654999477,0.0005484841340089972
Qwen3-14B|direct_only|s0,216,0.08952758354518177,0.29360568905791795,0.6435185185185185,4.48145739192732,1.0480634737429275e-05
