K,n_assays,base_max,base_hit,base_mean,rand_max,rand_hit,rand_delta,rand_p,rand_d,oracle_hiconf_max,oracle_hiconf_hit,oracle_hiconf_delta,oracle_hiconf_p,oracle_hiconf_d,oracle_loconf_max,oracle_loconf_hit,oracle_loconf_delta,oracle_loconf_p,oracle_loconf_d,oracle_randhalf_max,oracle_randhalf_hit,oracle_randhalf_delta,oracle_randhalf_p,oracle_randhalf_d,oracle_full_max,oracle_full_hit,oracle_full_delta,oracle_full_p,oracle_full_d,pen0.25_max,pen0.25_hit,pen0.25_delta,pen0.25_p,pen0.25_d,pen0.5_max,pen0.5_hit,pen0.5_delta,pen0.5_p,pen0.5_d,pen1.0_max,pen1.0_hit,pen1.0_delta,pen1.0_p,pen1.0_d,pen2.0_max,pen2.0_hit,pen2.0_delta,pen2.0_p,pen2.0_d
10,207,0.7727202860070004,0.2995169082125604,0.6596143430441559,0.7749908405979596,0.2463768115942029,0.002270554590959289,0.5954260633841577,0.02829539853146068,0.8168873194869151,0.5410628019323671,0.04416703347991461,2.6049755439053492e-17,0.5314939052429303,0.8264792425211459,0.6038647342995169,0.05375895651414568,4.422065480915779e-25,0.6878983954436679,0.8363296702667046,0.6570048309178744,0.06360938425970417,6.331748148736948e-26,0.7111899786860942,0.8615029396186921,0.7874396135265701,0.0887826536116917,2.8364053067280846e-32,0.9289100277569879,0.7702666139660752,0.2753623188405797,-0.002453672040925041,0.12598254837271441,-0.07899520570324994,0.7693028311605234,0.28019323671497587,-0.0034174548464769804,0.36998329308598255,-0.0755676211053917,0.7688792301768791,0.28019323671497587,-0.0038410558301212898,0.3183777387457579,-0.08331260263701647,0.7648459647616512,0.25120772946859904,-0.007874321245349283,0.07434398189444387,-0.1404537109808257
20,207,0.8016640496281113,0.4444444444444444,0.6571996210686409,0.7937658544272053,0.3333333333333333,-0.007898195200906203,0.012374466444954437,-0.12680339151512166,0.8472132992574618,0.7198067632850241,0.04554924962935045,1.1814301193277179e-18,0.5766388139408394,0.8274226849489733,0.6135265700483091,0.025758635320862096,1.9514973345791845e-12,0.40257745115843,0.8372373020168665,0.6570048309178744,0.03557325238875515,2.03313399570115e-15,0.5382909797800062,0.8615029396186921,0.7874396135265701,0.05983888999058071,7.393547603776528e-27,0.7223559310166572,0.7972507156674735,0.4444444444444444,-0.004413333960638012,0.028795498649410566,-0.1602634331158525,0.7938666691074556,0.41545893719806765,-0.0077973805206557655,0.00048528573220556583,-0.2337269932991284,0.7941852821298608,0.41545893719806765,-0.007478767498250446,0.0014246760890164734,-0.1853533333428768,0.7914978471882196,0.37681159420289856,-0.010166202439891846,0.00013777751866250499,-0.17362200757924884
30,207,0.8165578654751104,0.5410628019323671,0.6544618852101803,0.8095927085761987,0.48792270531400966,-0.006965156898911796,0.02034790316639606,-0.10850260219006333,0.8509600895206518,0.7342995169082126,0.03440222404554136,4.5599233424564145e-18,0.5391425975825707,0.8314051146514486,0.642512077294686,0.014847249176338301,1.939916471014958e-07,0.30615592228035965,0.844461097349425,0.7004830917874396,0.027903231874314545,4.6387331105149156e-14,0.46055280478464994,0.8615029396186921,0.7874396135265701,0.044945074143581655,2.090929185288914e-23,0.659312969015604,0.8138151052190353,0.5265700483091788,-0.0027427602560751644,0.07661792341167123,-0.09166829256563777,0.8128499523596575,0.5217391304347826,-0.0037079131154530392,0.04441734924163164,-0.11774788746640216,0.8118460857252164,0.5169082125603864,-0.00471177974989397,0.010604840032412502,-0.10813018931773118,0.8088419741628832,0.5024154589371981,-0.007715891312227374,0.0014465843711189677,-0.15869650372676286
40,207,0.8248704812443914,0.5845410628019324,0.6526351874724808,0.8237388040036977,0.5652173913043478,-0.001131677240693654,0.3682760176885598,-0.019586890434412293,0.8527070360342563,0.748792270531401,0.027836554789864937,1.2169591154058097e-14,0.4598167363611498,0.8356653492236135,0.6666666666666666,0.010794867979222062,6.359650895966196e-06,0.2425446953914175,0.8437120958160317,0.6714975845410628,0.018841614571640422,4.510534487019177e-08,0.3095653103111421,0.8615029396186921,0.7874396135265701,0.03663245837430067,8.985122538253986e-21,0.5740692058233712,0.82271685045025,0.5700483091787439,-0.0021536307941413444,0.20868126881333193,-0.10015625040753551,0.8188796532742195,0.5362318840579711,-0.005990827970171931,0.007795434243492074,-0.1703467797518686,0.819695223983603,0.5410628019323671,-0.005175257260788546,0.021897523974342435,-0.1257001661583266,0.819454464805187,0.5603864734299517,-0.005416016439204294,0.008234772864550714,-0.12355143289342649
