run,n,TRUE_msa_acc_vs_neff,LLM_msa_weight_vs_neff,p_llm,LLM_msa_minus_struct_vs_neff,p_rel
Qwen3-8B|cot_only|s0,216,0.19126925581364554,0.8669326690538225,1.213358654952313e-66,0.5839446413489974,3.867234863880564e-21
Qwen3-14B|cot_only|s0,216,0.19126925581364554,0.6873497227721366,1.510325882894995e-31,0.19874840987209239,0.003353104115787237
Qwen3-8B|direct_only|s0,216,0.19126925581364554,0.6651634262366443,5.805007936901224e-29,-0.46107876200781694,9.090361774469264e-13
Qwen3-14B|direct_only|s0,216,0.19126925581364554,0.616502834200296,5.28814949734561e-24,0.23304457131775136,0.0005547342519928176
Qwen3-14B|conflict_cot|s0,216,0.19126925581364554,0.544857015629509,4.247868936240038e-18,0.20564357402392514,0.0023868925661172796
Qwen3-14B|conflict_cot|s2,96,0.2796765949958184,0.49623707606252265,2.7244439326222263e-07,0.268273711604719,0.008223974072763257
Qwen3-14B|conflict_cot|s1,216,0.19126925581364554,0.48758163568052665,2.6744887746607602e-14,0.19458193827755071,0.004096232744863338
Qwen3-14B|conflict_direct|s0,216,0.19126925581364554,0.4300017510051643,3.9244640959367314e-11,0.09402956026319195,0.1685182357395719
Qwen3-8B|conflict_cot|s0,216,0.19126925581364554,0.41607346299711584,1.8812046300181505e-10,0.11416881296084415,0.09419494492932018
