run,probe,mention_rate,mention_rate_when_true,mention_rate_when_false,auroc,p_fisher
Qwen3-14B|conflict_cot|s0,shallow_alignment,0.25462962962962965,0.4444444444444444,0.06481481481481481,0.6898148148148149,7.498010236776834e-11
Qwen3-14B|conflict_cot|s0,deep_alignment,0.7314814814814815,0.9074074074074074,0.5555555555555556,0.6759259259259259,4.913784860411373e-09
Qwen3-14B|conflict_cot|s0,viral,0.14351851851851852,0.967741935483871,0.005405405405405406,0.9811682650392328,1.940467713824543e-34
Qwen3-14B|conflict_cot|s0,stability_assay,0.5509259259259259,1.0,0.35333333333333333,0.8233333333333334,8.178450259183152e-23
Qwen3-14B|conflict_cot|s0,binding_assay,0.23148148148148148,1.0,0.18226600985221675,0.9088669950738917,1.4334534198600514e-09
Qwen3-14B|conflict_cot|s0,organismal_fitness,0.39814814814814814,1.0,0.06474820143884892,0.9676258992805755,6.406690589413088e-49
Qwen3-14B|conflict_cot|s0,long_sequence,0.10185185185185185,0.1388888888888889,0.06481481481481481,0.537037037037037,0.11369037667771274
Qwen3-14B|conflict_cot|s0,epistasis_multi,0.004629629629629629,0.0,0.006802721088435374,0.4965986394557823,1.0
Qwen3-14B|conflict_cot|s1,shallow_alignment,0.2777777777777778,0.48148148148148145,0.07407407407407407,0.7037037037037036,1.0996124477719153e-11
Qwen3-14B|conflict_cot|s1,deep_alignment,0.7129629629629629,0.8981481481481481,0.5277777777777778,0.6851851851851851,1.604786287545046e-09
Qwen3-14B|conflict_cot|s1,viral,0.14814814814814814,1.0,0.005405405405405406,0.9972972972972973,1.0825482364432591e-36
Qwen3-14B|conflict_cot|s1,stability_assay,0.4861111111111111,1.0,0.26,0.87,3.02278235490004e-28
Qwen3-14B|conflict_cot|s1,binding_assay,0.2175925925925926,1.0,0.16748768472906403,0.916256157635468,5.682618914445202e-10
Qwen3-14B|conflict_cot|s1,organismal_fitness,0.37962962962962965,1.0,0.03597122302158273,0.9820143884892086,3.8013755907713685e-53
Qwen3-14B|conflict_cot|s1,long_sequence,0.12962962962962962,0.18518518518518517,0.07407407407407407,0.5555555555555556,0.02450192273297461
Qwen3-14B|conflict_cot|s1,epistasis_multi,0.013888888888888888,0.028985507246376812,0.006802721088435374,0.5110913930789707,0.23983675046487482
Qwen3-14B|conflict_cot|s2,shallow_alignment,0.3333333333333333,0.5,0.11904761904761904,0.6904761904761905,7.759323320578315e-05
Qwen3-14B|conflict_cot|s2,deep_alignment,0.7291666666666666,0.9047619047619048,0.5925925925925926,0.656084656084656,0.000951772026912797
Qwen3-14B|conflict_cot|s2,viral,0.125,1.0,0.011764705882352941,0.9941176470588236,1.3607213901864905e-13
Qwen3-14B|conflict_cot|s2,stability_assay,0.3854166666666667,0.9565217391304348,0.2054794520547945,0.8755211435378202,6.509377586927223e-11
Qwen3-14B|conflict_cot|s2,binding_assay,0.16666666666666666,1.0,0.10112359550561797,0.949438202247191,9.597965650102498e-07
Qwen3-14B|conflict_cot|s2,organismal_fitness,0.4479166666666667,1.0,0.05357142857142857,0.9732142857142857,7.219273719396948e-24
Qwen3-14B|conflict_cot|s2,long_sequence,0.1875,0.2830188679245283,0.06976744186046512,0.6066257130320316,0.008691661984956224
Qwen3-14B|cot_only|s0,shallow_alignment,0.38425925925925924,0.5833333333333334,0.18518518518518517,0.6990740740740742,2.27333178724478e-09
Qwen3-14B|cot_only|s0,deep_alignment,0.38425925925925924,0.6296296296296297,0.1388888888888889,0.7453703703703705,7.39008599915642e-14
Qwen3-14B|cot_only|s0,viral,0.13425925925925927,0.9354838709677419,0.0,0.967741935483871,5.883311368745228e-34
Qwen3-14B|cot_only|s0,stability_assay,0.4722222222222222,0.9242424242424242,0.2733333333333333,0.8254545454545454,3.729167211913951e-20
Qwen3-14B|cot_only|s0,binding_assay,0.2037037037037037,1.0,0.15270935960591134,0.9236453201970443,2.097119431639846e-10
Qwen3-14B|cot_only|s0,organismal_fitness,0.3888888888888889,1.0,0.050359712230215826,0.974820143884892,6.31028348068047e-51
Qwen3-14B|cot_only|s0,long_sequence,0.28703703703703703,0.21296296296296297,0.3611111111111111,0.42592592592592593,0.023640623476888247
Qwen3-14B|cot_only|s0,epistasis_multi,0.041666666666666664,0.11594202898550725,0.006802721088435374,0.554569653948536,0.0005397660705154847
Qwen3-8B|conflict_cot|s0,shallow_alignment,0.24537037037037038,0.4444444444444444,0.046296296296296294,0.6990740740740741,2.5952799726304505e-12
Qwen3-8B|conflict_cot|s0,deep_alignment,0.7731481481481481,0.8611111111111112,0.6851851851851852,0.587962962962963,0.0031926193219221966
Qwen3-8B|conflict_cot|s0,viral,0.12962962962962962,0.8709677419354839,0.005405405405405406,0.9327811682650393,4.778190161240123e-29
Qwen3-8B|conflict_cot|s0,stability_assay,0.3287037037037037,0.9848484848484849,0.04,0.9724242424242423,6.449438670363447e-47
Qwen3-8B|conflict_cot|s0,binding_assay,0.06944444444444445,0.7692307692307693,0.024630541871921183,0.8723001136794241,1.6284889113560097e-11
Qwen3-8B|conflict_cot|s0,organismal_fitness,0.19907407407407407,0.5324675324675324,0.014388489208633094,0.7590395216294495,2.522444369272595e-20
Qwen3-8B|conflict_cot|s0,long_sequence,0.032407407407407406,0.05555555555555555,0.009259259259259259,0.5231481481481481,0.11889602799204574
Qwen3-8B|cot_only|s0,shallow_alignment,0.2962962962962963,0.49074074074074076,0.10185185185185185,0.6944444444444444,3.1504818042304474e-10
Qwen3-8B|cot_only|s0,deep_alignment,0.4861111111111111,0.8333333333333334,0.1388888888888889,0.8472222222222223,4.790802518717337e-26
Qwen3-8B|cot_only|s0,viral,0.125,0.8387096774193549,0.005405405405405406,0.9166521360069748,1.7420484962854618e-27
Qwen3-8B|cot_only|s0,stability_assay,0.5046296296296297,1.0,0.2866666666666667,0.8566666666666667,1.571703903106964e-26
Qwen3-8B|cot_only|s0,binding_assay,0.25462962962962965,1.0,0.20689655172413793,0.896551724137931,5.862030606918059e-09
Qwen3-8B|cot_only|s0,organismal_fitness,0.3611111111111111,0.974025974025974,0.02158273381294964,0.9762216201065123,1.0024876795949989e-51
Qwen3-8B|cot_only|s0,long_sequence,0.1712962962962963,0.2962962962962963,0.046296296296296294,0.625,1.0225584010941902e-06
Qwen3-8B|cot_only|s0,epistasis_multi,0.05092592592592592,0.057971014492753624,0.047619047619047616,0.505175983436853,0.7472340443116765
