feature,importance
rel_pos,0.30953384957593777
blosum,0.21488365434119944
d_hydro,0.11887109086750688
d_vol,0.10489363636189515
abs_d_vol,0.07378000528194385
abs_d_hydro,0.0676049596116358
is_proline,0.04475843296680345
abs_d_charge,0.03889283744989945
is_glycine_wt,0.014363835420499472
d_charge,0.012417698122678714
