signal,mean_auroc,sd,frac_assays_gt_0.5,t_vs_0.5,p
TU,0.5129747816235691,0.06812793149700008,0.5420560747663551,2.7860040321917783,0.023687821879582353
raw_sd,0.5127306185242373,0.06494950869329978,0.5186915887850467,2.867348766575923,0.0324636552761126
EU,0.511430201144373,0.06283584576131349,0.5373831775700935,2.661051592203358,0.042859338694875834
AU,0.5109208049947089,0.06170080057287716,0.5467289719626168,2.589230653226402,0.021782864537115334
EU+conf_mag,0.5019234051052727,0.07698633860815629,0.5280373831775701,0.36548031084516697,0.5660038441054488
conf_mag,0.49281715159495143,0.08096851463619156,0.49065420560747663,-1.2977391755904542,0.48552291851616947
